CMDLINE /usr/bin/python3 loop_benchmark.py
MEM 8.449219 1547922395.4344
MEM 14.339844 1547922395.5347
MEM 53.316406 1547922395.6351
MEM 53.316406 1547922395.7354
MEM 53.316406 1547922395.8358
MEM 53.316406 1547922395.9362
MEM 53.316406 1547922396.0366
MEM 53.316406 1547922396.1370
MEM 53.316406 1547922396.2373
MEM 53.316406 1547922396.3377
MEM 53.316406 1547922396.4380
MEM 53.316406 1547922396.5383
MEM 53.316406 1547922396.6387
MEM 53.316406 1547922396.7390
MEM 53.316406 1547922396.8393
MEM 53.316406 1547922396.9397
MEM 53.316406 1547922397.0400
MEM 53.316406 1547922397.1404
